epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1564.65,1.60271,1.03395,0.82219,0.81673,0.70983,0.7702,0.4389,1.34041,0.73812,0.79642,0.00999421,0.0033314,0.00999421,0.0033314,0.00999421,0.0033314,0.00999421,0.0033314
2,3348.4,1.55971,0.83523,0.80969,0.81308,0.72431,0.77834,0.43859,1.33597,0.76467,0.79508,0.0198952,0.00663175,0.0198952,0.00663175,0.0198952,0.00663175,0.0198952,0.00663175
3,5154.47,1.55264,0.84717,0.8095,0.82045,0.72888,0.78612,0.44988,1.33011,0.74783,0.79444,0.0296973,0.00989909,0.0296973,0.00989909,0.0296973,0.00989909,0.0296973,0.00989909
4,7309.64,1.51677,0.82878,0.80572,0.83124,0.75455,0.81405,0.47526,1.27554,0.68219,0.78846,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,9832.53,1.47104,0.79582,0.80333,0.84112,0.76661,0.82558,0.4872,1.25001,0.65646,0.78536,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,12110.6,1.46369,0.78711,0.80057,0.83782,0.77722,0.8321,0.4928,1.2353,0.6434,0.78326,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,14370.2,1.45017,0.77671,0.79904,0.83943,0.78182,0.83628,0.49911,1.22324,0.63411,0.78223,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,16764.8,1.45173,0.77508,0.79892,0.83977,0.78454,0.83895,0.50126,1.21752,0.62998,0.78134,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,18944.2,1.44812,0.77202,0.79847,0.84024,0.7869,0.84065,0.50266,1.21228,0.62715,0.78086,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,21187.4,1.43553,0.76409,0.79852,0.8404,0.78755,0.84124,0.50322,1.21054,0.62596,0.78061,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,23387.8,1.43328,0.76486,0.79744,0.84105,0.78734,0.84142,0.50355,1.21003,0.6256,0.78038,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,26386,1.42992,0.76049,0.79727,0.84186,0.78711,0.84162,0.50399,1.2102,0.62547,0.78028,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,29826.6,1.42971,0.7601,0.79626,0.84248,0.78609,0.84132,0.50415,1.21054,0.62538,0.7802,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,33063.4,1.43049,0.75885,0.79655,0.84252,0.78537,0.84078,0.50397,1.21129,0.62604,0.78021,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,36155.3,1.425,0.75571,0.79699,0.84217,0.78518,0.84041,0.50331,1.21251,0.62692,0.78018,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,39441.2,1.42209,0.7551,0.79619,0.84254,0.78392,0.84003,0.50296,1.21383,0.62829,0.78017,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,42763.1,1.42015,0.75489,0.7962,0.84269,0.78329,0.83979,0.50286,1.21464,0.62971,0.78018,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,46158.7,1.4163,0.75088,0.79588,0.84231,0.78326,0.8397,0.50274,1.21559,0.63132,0.78011,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,49423.2,1.42041,0.75261,0.79513,0.84337,0.78234,0.83953,0.50246,1.21629,0.63235,0.78005,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,52612.3,1.41434,0.74895,0.79564,0.84346,0.78189,0.83942,0.50233,1.21695,0.63345,0.78002,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,55560.9,1.41816,0.75059,0.7946,0.84382,0.78195,0.83938,0.50221,1.21718,0.63382,0.77997,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,58818.2,1.41544,0.74835,0.7948,0.84346,0.78162,0.83917,0.50228,1.2176,0.63418,0.77993,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,62248.1,1.4117,0.74739,0.7955,0.8433,0.78178,0.83949,0.50265,1.2179,0.63444,0.77993,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,65745.5,1.40925,0.74619,0.79408,0.84401,0.78152,0.83978,0.5028,1.21821,0.63372,0.77995,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,69217.6,1.40565,0.74305,0.79485,0.84404,0.78212,0.84011,0.50312,1.21791,0.63308,0.77996,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,72624.8,1.41008,0.74436,0.79478,0.84427,0.7826,0.84066,0.5038,1.21679,0.63209,0.77983,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,75810.1,1.40893,0.74257,0.79396,0.84489,0.78305,0.84132,0.50431,1.21559,0.63084,0.77971,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,78594.8,1.40397,0.74056,0.79476,0.84527,0.78316,0.84164,0.5048,1.21472,0.62979,0.77961,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,81198.3,1.40407,0.7407,0.79325,0.84521,0.7846,0.84254,0.50567,1.21279,0.62827,0.77949,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,83590.5,1.40446,0.74045,0.79303,0.84435,0.78623,0.84336,0.50658,1.21117,0.62664,0.77935,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,86151,1.40155,0.73987,0.79306,0.84434,0.78748,0.8442,0.50772,1.20934,0.62505,0.77919,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
